time_iso8601,stars_cumulative
2025-01-02 00:00:00+00:00,1
2025-02-09 00:00:00+00:00,2
2025-02-19 00:00:00+00:00,3
2025-02-23 00:00:00+00:00,4
2025-03-21 00:00:00+00:00,5
2025-04-07 00:00:00+00:00,6
2025-05-23 00:00:00+00:00,7
2025-07-18 00:00:00+00:00,8
2025-08-10 00:00:00+00:00,9
2025-09-03 00:00:00+00:00,10
2025-09-16 00:00:00+00:00,11
2025-10-06 00:00:00+00:00,12
2025-12-12 00:00:00+00:00,13
2025-12-24 00:00:00+00:00,14
2026-01-14 00:00:00+00:00,15
2026-02-13 00:00:00+00:00,16
2026-02-15 00:00:00+00:00,18
2026-02-25 00:00:00+00:00,19
2026-04-05 00:00:00+00:00,20
2026-04-07 00:00:00+00:00,21
2026-04-13 00:00:00+00:00,22
2026-04-15 00:00:00+00:00,23
2026-04-17 00:00:00+00:00,25
2026-04-22 00:00:00+00:00,26
2026-04-29 00:00:00+00:00,27
2026-05-10 00:00:00+00:00,28
2026-05-15 00:00:00+00:00,29
2026-05-22 00:00:00+00:00,30
2026-05-26 00:00:00+00:00,32
2026-06-01 00:00:00+00:00,33
2026-06-02 00:00:00+00:00,34
