time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,88,29,33,7
2026-04-20 00:00:00+00:00,23,13,39,4
2026-04-21 00:00:00+00:00,52,17,26,6
2026-04-22 00:00:00+00:00,330,83,46,7
2026-04-23 00:00:00+00:00,98,42,51,10
2026-04-24 00:00:00+00:00,464,155,31,5
2026-04-25 00:00:00+00:00,168,42,13,8
2026-04-26 00:00:00+00:00,308,43,14,5
2026-04-27 00:00:00+00:00,117,21,53,5
2026-04-28 00:00:00+00:00,10,6,20,6
2026-04-29 00:00:00+00:00,52,12,70,6
2026-04-30 00:00:00+00:00,272,33,36,5
2026-05-01 00:00:00+00:00,7,7,35,9
2026-05-02 00:00:00+00:00,78,26,10,3
2026-05-03 00:00:00+00:00,160,47,128,9
2026-05-04 00:00:00+00:00,46,16,18,9
2026-05-05 00:00:00+00:00,286,59,22,5
2026-05-06 00:00:00+00:00,3612,143,31,8
2026-05-07 00:00:00+00:00,331,84,44,6
2026-05-08 00:00:00+00:00,583,125,15,5
2026-05-09 00:00:00+00:00,313,123,61,11
2026-05-10 00:00:00+00:00,491,189,52,11
2026-05-11 00:00:00+00:00,74,31,59,6
2026-05-12 00:00:00+00:00,4,4,16,9
2026-05-13 00:00:00+00:00,15,9,1,1
2026-05-14 00:00:00+00:00,30,13,16,8
2026-05-15 00:00:00+00:00,47,12,13,6
2026-05-16 00:00:00+00:00,60,21,7,2
2026-05-17 00:00:00+00:00,30,12,6,5
2026-05-18 00:00:00+00:00,15,10,3,1
2026-05-19 00:00:00+00:00,19,13,6,4
2026-05-20 00:00:00+00:00,27,15,22,3
2026-05-21 00:00:00+00:00,23,14,20,3
2026-05-22 00:00:00+00:00,42,26,71,14
2026-05-23 00:00:00+00:00,42,27,36,8
2026-05-24 00:00:00+00:00,39,19,11,6
2026-05-25 00:00:00+00:00,144,66,19,7
2026-05-26 00:00:00+00:00,104,45,25,8
2026-05-27 00:00:00+00:00,116,54,46,5
2026-05-28 00:00:00+00:00,65,39,32,10
2026-05-29 00:00:00+00:00,32,13,11,6
2026-05-30 00:00:00+00:00,34,17,16,3
2026-05-31 00:00:00+00:00,253,78,30,7
2026-06-01 00:00:00+00:00,184,53,22,5
2026-06-02 00:00:00+00:00,96,45,3,2
2026-06-03 00:00:00+00:00,239,96,5,3
2026-06-04 00:00:00+00:00,230,109,27,6
2026-06-05 00:00:00+00:00,123,59,77,7
2026-06-06 00:00:00+00:00,138,48,40,9
2026-06-07 00:00:00+00:00,376,93,97,8
2026-06-08 00:00:00+00:00,612,137,67,9
2026-06-09 00:00:00+00:00,103,41,19,9
2026-06-10 00:00:00+00:00,103,39,39,5
2026-06-11 00:00:00+00:00,104,33,40,10
2026-06-12 00:00:00+00:00,79,37,52,3
2026-06-13 00:00:00+00:00,141,43,10,5
2026-06-14 00:00:00+00:00,201,52,15,6
2026-06-15 00:00:00+00:00,340,51,11,4
2026-06-16 00:00:00+00:00,219,66,44,8
2026-06-17 00:00:00+00:00,118,47,33,3
2026-06-18 00:00:00+00:00,331,83,61,6
2026-06-19 00:00:00+00:00,352,70,40,13
2026-06-20 00:00:00+00:00,202,65,15,7
2026-06-21 00:00:00+00:00,276,62,75,11
2026-06-22 00:00:00+00:00,93,35,33,6
2026-06-23 00:00:00+00:00,194,39,13,6
